Type,Support,Input Name,Output Name,Input Batch,Input Width,Input Height,Input Depth,Left Pad,Right Pad,Top Pad,Bottom Pad,Stride Width,Stride Height,Conv width,Conv height,Conv depth,Output width,Output height,Output depth
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1/Conv2D__39:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/bn_Conv1/FusedBatchNormV3:0,1,300,300,3,0,0,1,1,2,2,3,3,32,150,150,32
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise_BN/FusedBatchNormV3:0,1,150,150,32,1,1,1,1,1,1,3,3,32,150,150,32
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_project_BN/FusedBatchNormV3:0,1,150,150,32,0,0,0,0,1,1,1,1,16,150,150,16
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_project_BN/FusedBatchNormV3:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand/Conv2D:0,1,150,150,16,0,0,0,0,1,1,1,1,96,150,150,96
Clip,Yes,323,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise_BN/FusedBatchNormV3:0,1,150,150,96,0,0,1,1,2,2,3,3,96,75,75,96
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_project_BN/FusedBatchNormV3:0,1,75,75,96,0,0,0,0,1,1,1,1,24,75,75,24
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_project_BN/FusedBatchNormV3:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_expand/Conv2D:0,1,75,75,24,0,0,0,0,1,1,1,1,144,75,75,144
Clip,Yes,327,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_depthwise_BN/FusedBatchNormV3:0,1,75,75,144,1,1,1,1,1,1,3,3,144,75,75,144
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_project_BN/FusedBatchNormV3:0,1,75,75,144,0,0,0,0,1,1,1,1,24,75,75,24
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_expand_BN/FusedBatchNormV3:0,1,75,75,24,0,0,0,0,1,1,1,1,144,75,75,144
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_depthwise_BN/FusedBatchNormV3:0,1,75,75,144,1,1,1,1,2,2,3,3,144,38,38,144
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_project_BN/FusedBatchNormV3:0,1,38,38,144,0,0,0,0,1,1,1,1,32,38,38,32
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_project_BN/FusedBatchNormV3:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_expand/Conv2D:0,1,38,38,32,0,0,0,0,1,1,1,1,192,38,38,192
Clip,Yes,331,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_depthwise_BN/FusedBatchNormV3:0,1,38,38,192,1,1,1,1,1,1,3,3,192,38,38,192
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_project_BN/FusedBatchNormV3:0,1,38,38,192,0,0,0,0,1,1,1,1,32,38,38,32
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_expand_BN/FusedBatchNormV3:0,1,38,38,32,0,0,0,0,1,1,1,1,192,38,38,192
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_depthwise_BN/FusedBatchNormV3:0,1,38,38,192,1,1,1,1,1,1,3,3,192,38,38,192
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_project_BN/FusedBatchNormV3:0,1,38,38,192,0,0,0,0,1,1,1,1,32,38,38,32
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_6_expand_BN/FusedBatchNormV3:0,1,38,38,32,0,0,0,0,1,1,1,1,192,38,38,192
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_6_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_6_depthwise_BN/FusedBatchNormV3:0,1,38,38,192,0,0,1,1,2,2,3,3,192,19,19,192
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_6_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_6_project_BN/FusedBatchNormV3:0,1,19,19,192,0,0,0,0,1,1,1,1,64,19,19,64
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_6_project_BN/FusedBatchNormV3:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_7_expand/Conv2D:0,1,19,19,64,0,0,0,0,1,1,1,1,384,19,19,384
Clip,Yes,335,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_7_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_7_depthwise_BN/FusedBatchNormV3:0,1,19,19,384,1,1,1,1,1,1,3,3,384,19,19,384
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_7_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_7_project_BN/FusedBatchNormV3:0,1,19,19,384,0,0,0,0,1,1,1,1,64,19,19,64
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_7_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_8_expand_BN/FusedBatchNormV3:0,1,19,19,64,0,0,0,0,1,1,1,1,384,19,19,384
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_8_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_8_depthwise_BN/FusedBatchNormV3:0,1,19,19,384,1,1,1,1,1,1,3,3,384,19,19,384
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_8_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_8_project_BN/FusedBatchNormV3:0,1,19,19,384,0,0,0,0,1,1,1,1,64,19,19,64
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_8_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_9_expand_BN/FusedBatchNormV3:0,1,19,19,64,0,0,0,0,1,1,1,1,384,19,19,384
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_9_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_9_depthwise_BN/FusedBatchNormV3:0,1,19,19,384,1,1,1,1,1,1,3,3,384,19,19,384
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_9_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_9_project_BN/FusedBatchNormV3:0,1,19,19,384,0,0,0,0,1,1,1,1,64,19,19,64
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_9_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_10_expand_BN/FusedBatchNormV3:0,1,19,19,64,0,0,0,0,1,1,1,1,384,19,19,384
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_10_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_10_depthwise_BN/FusedBatchNormV3:0,1,19,19,384,1,1,1,1,1,1,3,3,384,19,19,384
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_10_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_10_project_BN/FusedBatchNormV3:0,1,19,19,384,0,0,0,0,1,1,1,1,96,19,19,96
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_10_project_BN/FusedBatchNormV3:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_11_expand/Conv2D:0,1,19,19,96,0,0,0,0,1,1,1,1,576,19,19,576
Clip,Yes,339,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_11_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_11_depthwise_BN/FusedBatchNormV3:0,1,19,19,576,1,1,1,1,1,1,3,3,576,19,19,576
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_11_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_11_project_BN/FusedBatchNormV3:0,1,19,19,576,0,0,0,0,1,1,1,1,96,19,19,96
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_11_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_12_expand_BN/FusedBatchNormV3:0,1,19,19,96,0,0,0,0,1,1,1,1,576,19,19,576
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_12_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_12_depthwise_BN/FusedBatchNormV3:0,1,19,19,576,1,1,1,1,1,1,3,3,576,19,19,576
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_12_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_12_project_BN/FusedBatchNormV3:0,1,19,19,576,0,0,0,0,1,1,1,1,96,19,19,96
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_12_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_13_expand_BN/FusedBatchNormV3:0,1,19,19,96,0,0,0,0,1,1,1,1,576,19,19,576
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_13_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_13_depthwise_BN/FusedBatchNormV3:0,1,19,19,576,1,1,1,1,2,2,3,3,576,10,10,576
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_13_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_13_project_BN/FusedBatchNormV3:0,1,10,10,576,0,0,0,0,1,1,1,1,160,10,10,160
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_13_project_BN/FusedBatchNormV3:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_14_expand/Conv2D:0,1,10,10,160,0,0,0,0,1,1,1,1,960,10,10,960
Clip,Yes,343,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_14_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_14_depthwise_BN/FusedBatchNormV3:0,1,10,10,960,1,1,1,1,1,1,3,3,960,10,10,960
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_14_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_14_project_BN/FusedBatchNormV3:0,1,10,10,960,0,0,0,0,1,1,1,1,160,10,10,160
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_14_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_15_expand_BN/FusedBatchNormV3:0,1,10,10,160,0,0,0,0,1,1,1,1,960,10,10,960
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_15_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_15_depthwise_BN/FusedBatchNormV3:0,1,10,10,960,1,1,1,1,1,1,3,3,960,10,10,960
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_15_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_15_project_BN/FusedBatchNormV3:0,1,10,10,960,0,0,0,0,1,1,1,1,160,10,10,160
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_15_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_16_expand_BN/FusedBatchNormV3:0,1,10,10,160,0,0,0,0,1,1,1,1,960,10,10,960
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_16_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_16_depthwise_BN/FusedBatchNormV3:0,1,10,10,960,1,1,1,1,1,1,3,3,960,10,10,960
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_16_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_16_project_BN/FusedBatchNormV3:0,1,10,10,960,0,0,0,0,1,1,1,1,320,10,10,320
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_16_project_BN/FusedBatchNormV3:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv_1/Conv2D:0,1,10,10,320,0,0,0,0,1,1,1,1,1280,10,10,1280
Clip,Yes,347,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/out_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_1_Conv2d_2_1x1_256_batchnorm/FusedBatchNormV3:0,1,10,10,1280,0,0,0,0,1,1,1,1,256,10,10,256
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_1_Conv2d_2_1x1_256/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_2_3x3_s2_512_batchnorm/FusedBatchNormV3:0,1,10,10,256,0,0,1,1,2,2,3,3,512,5,5,512
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_2_3x3_s2_512/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_1_Conv2d_3_1x1_128_batchnorm/FusedBatchNormV3:0,1,5,5,512,0,0,0,0,1,1,1,1,128,5,5,128
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_1_Conv2d_3_1x1_128/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_3_3x3_s2_256_batchnorm/FusedBatchNormV3:0,1,5,5,128,1,1,1,1,2,2,3,3,256,3,3,256
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_3_3x3_s2_256/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_1_Conv2d_4_1x1_128_batchnorm/FusedBatchNormV3:0,1,3,3,256,0,0,0,0,1,1,1,1,128,3,3,128
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_1_Conv2d_4_1x1_128/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_4_3x3_s2_256_batchnorm/FusedBatchNormV3:0,1,3,3,128,1,1,1,1,2,2,3,3,256,2,2,256
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_4_3x3_s2_256/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_1_Conv2d_5_1x1_64_batchnorm/FusedBatchNormV3:0,1,2,2,256,0,0,0,0,1,1,1,1,64,2,2,64
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_1_Conv2d_5_1x1_64/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_5_3x3_s2_128_batchnorm/FusedBatchNormV3:0,1,2,2,64,0,0,1,1,2,2,3,3,128,1,1,128
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_5_3x3_s2_128/Relu6:0,StatefulPartitionedCall/BoxPredictor/ConvolutionalClassHead_5/ClassPredictor/BiasAdd:0,1,1,1,128,0,0,0,0,1,1,1,1,546,1,1,546
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_5_3x3_s2_128/Relu6:0,StatefulPartitionedCall/BoxPredictor/ConvolutionalBoxHead_5/BoxEncodingPredictor/BiasAdd:0,1,1,1,128,0,0,0,0,1,1,1,1,24,1,1,24
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_4_3x3_s2_256/Relu6:0,StatefulPartitionedCall/BoxPredictor/ConvolutionalClassHead_4/ClassPredictor/BiasAdd:0,1,2,2,256,0,0,0,0,1,1,1,1,546,2,2,546
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_4_3x3_s2_256/Relu6:0,StatefulPartitionedCall/BoxPredictor/ConvolutionalBoxHead_4/BoxEncodingPredictor/BiasAdd:0,1,2,2,256,0,0,0,0,1,1,1,1,24,2,2,24
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_3_3x3_s2_256/Relu6:0,StatefulPartitionedCall/BoxPredictor/ConvolutionalClassHead_3/ClassPredictor/BiasAdd:0,1,3,3,256,0,0,0,0,1,1,1,1,546,3,3,546
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_3_3x3_s2_256/Relu6:0,StatefulPartitionedCall/BoxPredictor/ConvolutionalBoxHead_3/BoxEncodingPredictor/BiasAdd:0,1,3,3,256,0,0,0,0,1,1,1,1,24,3,3,24
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_2_3x3_s2_512/Relu6:0,StatefulPartitionedCall/BoxPredictor/ConvolutionalClassHead_2/ClassPredictor/BiasAdd:0,1,5,5,512,0,0,0,0,1,1,1,1,546,5,5,546
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/FeatureMaps/layer_19_2_Conv2d_2_3x3_s2_512/Relu6:0,StatefulPartitionedCall/BoxPredictor/ConvolutionalBoxHead_2/BoxEncodingPredictor/BiasAdd:0,1,5,5,512,0,0,0,0,1,1,1,1,24,5,5,24
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/out_relu/Relu6:0,StatefulPartitionedCall/BoxPredictor/ConvolutionalClassHead_1/ClassPredictor/BiasAdd:0,1,10,10,1280,0,0,0,0,1,1,1,1,546,10,10,546
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/out_relu/Relu6:0,StatefulPartitionedCall/BoxPredictor/ConvolutionalBoxHead_1/BoxEncodingPredictor/BiasAdd:0,1,10,10,1280,0,0,0,0,1,1,1,1,24,10,10,24
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_13_expand_relu/Relu6:0,StatefulPartitionedCall/BoxPredictor/ConvolutionalClassHead_0/ClassPredictor/BiasAdd:0,1,19,19,576,0,0,0,0,1,1,1,1,273,19,19,273
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_13_expand_relu/Relu6:0,StatefulPartitionedCall/BoxPredictor/ConvolutionalBoxHead_0/BoxEncodingPredictor/BiasAdd:0,1,19,19,576,0,0,0,0,1,1,1,1,12,19,19,12
